recno,Symbad_Hyades,PAM_clust,sil_width
6846,FALSE,2,0.08813469983393969
6851,FALSE,2,0.3223705173633143
6852,FALSE,2,0.3037409689157587
7344,FALSE,2,0.12385076645977637
7356,FALSE,2,0.15644051544840828
7359,FALSE,2,0.22496583458115557
7364,FALSE,2,0.2761083076837688
7368,FALSE,2,0.03275124151670716
7518,FALSE,2,0.044059419946247826
7524,FALSE,2,0.2122770770441311
7534,FALSE,2,0.15892915638017777
7622,FALSE,2,0.2505205543019705
7635,FALSE,2,0.3300115503207587
7636,FALSE,2,0.2313045722163993
7751,FALSE,2,0.32876756074379127
7752,FALSE,2,0.010617728570015065
7754,FALSE,2,0.30867251095254056
7755,FALSE,2,0.20160618583869633
7758,FALSE,2,0.3013823563418038
7760,FALSE,2,0.31581300827911085
7767,FALSE,2,0.314931324593322
7770,FALSE,2,0.02133011796980535
7771,FALSE,2,0.122585792036395
7773,FALSE,2,0.06429050713479283
7774,FALSE,2,0.16027359712978903
7779,FALSE,2,0.06681931899256469
7794,FALSE,2,0.07620788095213943
7797,FALSE,2,0.17171000241621062
7798,FALSE,2,0.02825105674112664
7800,FALSE,2,0.19298797915718827
7802,FALSE,2,0.1196051632902358
7803,FALSE,2,0.0719248643252838
7804,FALSE,2,0.0952652795624186
7807,FALSE,2,0.21438420704527203
7810,FALSE,2,0.10430886009464026
7817,FALSE,2,0.0724553467458021
7822,FALSE,2,0.26187403754742333
7828,FALSE,2,0.03090955961189366
7833,FALSE,2,2.345466627791602e-4
7834,FALSE,2,0.22862864892947704
7840,FALSE,2,0.18693839678684254
7849,FALSE,2,0.2875143599902194
7850,FALSE,2,0.2895478571997416
7852,FALSE,2,0.1444407039471287
7853,FALSE,2,0.18836529957119882
7867,FALSE,2,0.04031695380375064
7871,FALSE,2,0.22048821856663092
7873,FALSE,2,0.06237199493555756
7887,FALSE,2,0.1650585398365394
7894,FALSE,2,0.1704898454553508
7895,FALSE,2,0.1895882919900643
7900,FALSE,2,0.06642616493304757
7909,FALSE,2,0.1262165125736815
7912,FALSE,2,0.06129752929253796
7914,FALSE,2,0.2945938921426556
7923,FALSE,2,0.33437467297003837
7931,FALSE,2,0.2128954820524295
7942,FALSE,2,0.059680735800427646
7943,FALSE,2,0.16880885926987577
7952,FALSE,2,0.25986581818274784
7958,FALSE,2,0.3247037492901296
7967,FALSE,2,0.12793571571778087
7978,FALSE,2,0.024769306684742504
7980,FALSE,2,0.2629888612204783
7996,FALSE,2,0.2965803846193838
8e3,FALSE,2,0.1474787033237607
8005,FALSE,2,0.27355553512204667
8008,FALSE,2,0.2590857249053241
8009,FALSE,2,0.11321449538368719
8022,FALSE,2,0.13767818031709275
8035,FALSE,2,0.08401618935321002
8057,FALSE,2,0.12845576276119605
8064,FALSE,2,0.04108098338949125
8069,FALSE,2,0.23857531008234473
8071,FALSE,2,0.18044480788938902
8072,FALSE,2,0.10873317520240597
8078,FALSE,2,0.28333272260038744
8101,FALSE,2,0.09079288097519704
8102,FALSE,2,0.004394727379631573
8104,FALSE,2,0.09594545925876204
8123,FALSE,2,0.06261392809406217
8124,FALSE,2,0.32920170037874713
8136,FALSE,2,0.306299452679211
8138,FALSE,2,0.2559741807604945
8144,FALSE,2,0.1652297333922884
8159,FALSE,2,0.21181434959144385
8175,FALSE,2,0.31765725399228756
8182,FALSE,2,0.30117926713492454
8190,FALSE,2,0.0011221997318960181
8197,FALSE,2,0.08468873615450957
8200,FALSE,2,0.21422725893643535
8203,FALSE,2,0.28540139011866417
8207,FALSE,2,0.3363242776476733
8208,FALSE,2,0.19073473341745983
8213,FALSE,2,0.01406443663081049
8218,FALSE,2,0.3013581529978383
8220,FALSE,2,0.03896085128395105
8226,FALSE,2,0.24112073770192233
8234,FALSE,2,0.32388152482345056
8239,FALSE,2,0.27556797202546024
8243,FALSE,2,0.3454771866884205
8251,FALSE,2,0.32586226363877463
8260,FALSE,2,0.1857766059657684
8271,FALSE,2,0.32412939970059124
8273,FALSE,2,0.07428520764189224
8275,FALSE,2,0.20732111468157918
8276,FALSE,2,0.28444476098087135
8277,FALSE,2,0.2955204018890428
8302,FALSE,2,0.09193143628072657
8308,FALSE,2,0.17671698750680348
8311,FALSE,2,0.060238993184745536
8313,FALSE,2,0.20774161194885415
8322,FALSE,2,0.13269602796797347
8323,FALSE,2,0.11330567186952027
8325,FALSE,2,0.06485828218740551
8327,FALSE,2,0.1766889130233061
8330,FALSE,2,0.3497764021637601
8332,FALSE,2,0.17691928428269244
8335,FALSE,2,0.25036568668661935
8337,FALSE,2,0.23247505482595252
8344,FALSE,2,0.05981138146083229
8349,FALSE,2,0.05459700415643257
8352,FALSE,2,0.10731441946022167
8359,FALSE,2,0.30192257747324663
8361,FALSE,2,0.34849069992655657
8369,FALSE,2,0.11844157158099353
8374,FALSE,2,0.35207712533578467
8379,FALSE,2,0.2544240192413967
8383,FALSE,2,0.03972242663273635
8396,FALSE,2,0.23005423910308173
8402,FALSE,2,0.20157248278093365
8403,FALSE,2,0.21333902345931552
8404,FALSE,2,0.0163404150037699
8407,FALSE,2,0.3183988258101764
8409,FALSE,2,0.025584063821983586
8412,FALSE,2,0.35363965675879405
8417,FALSE,2,0.27987702660996133
8421,FALSE,2,0.19803628696410808
8423,FALSE,2,0.2998219475699646
8425,FALSE,2,0.10602851570654652
8429,FALSE,2,0.36352155925135304
8432,FALSE,2,0.20610428987986718
8433,FALSE,2,0.05103912028300286
8434,FALSE,2,0.20844357602890448
8439,FALSE,2,0.35435157041552967
8444,FALSE,2,0.06067611382492544
8462,FALSE,2,0.2952741894620458
8464,FALSE,2,0.20154226155563287
8468,FALSE,2,0.23509380123016568
8471,FALSE,2,0.25111575950912335
8473,FALSE,2,0.1565075959096997
8478,FALSE,2,0.3559344693004904
8485,FALSE,2,0.1586870497291472
8490,FALSE,2,0.11166969789602607
8491,FALSE,2,0.2261203112207398
8492,FALSE,2,0.31340473624805576
8496,FALSE,2,0.1378354783761901
8498,FALSE,2,0.2265222856102231
8500,FALSE,2,0.24687151083131767
